0,1
499.38,"[746, 708]"
502.39,"[747, 708]"
505.43,"[747, 708]"
508.46,"[749, 708]"
511.49,"[747, 707]"
514.52,"[748, 707]"
517.56,"[748, 707]"
520.58,"[752, 707]"
523.62,"[757, 708]"
526.65,"[766, 712]"
531.71,"[793, 695]"
534.73,"[786, 689]"
537.76,"[786, 685]"
540.8,"[791, 676]"
543.83,"[797, 660]"
546.85,"[803, 645]"
554.93,"[823, 596]"
557.95,"[824, 598]"
560.98,"[821, 593]"
564.01,"[817, 577]"
571.08,"[789, 556]"
574.11,"[776, 565]"
577.15,"[772, 576]"
580.16,"[768, 580]"
583.19,"[768, 581]"
586.22,"[765, 577]"
589.26,"[769, 577]"
592.28,"[768, 578]"
595.31,"[768, 578]"
598.34,"[756, 582]"
601.36,"[743, 591]"
604.39,"[741, 595]"
607.42,"[740, 595]"
610.45,"[727, 593]"
613.48,"[719, 597]"
616.51,"[708, 600]"
619.54,"[698, 602]"
622.57,"[686, 605]"
625.59,"[688, 605]"
628.61,"[677, 612]"
631.63,"[672, 622]"
634.65,"[664, 626]"
637.69,"[655, 626]"
640.72,"[653, 619]"
643.74,"[640, 625]"
646.78,"[625, 629]"
649.81,"[618, 633]"
652.85,"[612, 637]"
655.88,"[606, 638]"
658.91,"[602, 650]"
661.95,"[597, 659]"
664.97,"[588, 669]"
668.01,"[581, 680]"
671.03,"[574, 691]"
674.07,"[565, 703]"
677.08,"[557, 709]"
681.13,"[551, 727]"
684.16,"[553, 726]"
687.2,"[552, 726]"
690.22,"[552, 726]"
693.24,"[551, 723]"
696.26,"[548, 724]"
699.3,"[548, 724]"
702.33,"[548, 724]"
706.38,"[552, 719]"
29.28,"[558, 1056]"
48.47,"[458, 812]"
51.5,"[458, 817]"
54.52,"[464, 817]"
57.55,"[467, 817]"
62.59,"[467, 817]"
65.61,"[475, 813]"
68.63,"[472, 816]"
71.65,"[465, 813]"
74.68,"[461, 812]"
77.71,"[463, 813]"
80.73,"[462, 812]"
83.75,"[463, 811]"
89.8,"[462, 811]"
92.83,"[472, 816]"
95.86,"[469, 818]"
98.88,"[463, 822]"
101.91,"[462, 817]"
104.93,"[459, 811]"
107.96,"[459, 810]"
110.97,"[458, 810]"
114.0,"[459, 810]"
121.05,"[460, 812]"
124.07,"[459, 816]"
127.09,"[459, 816]"
130.12,"[460, 816]"
133.14,"[459, 816]"
136.17,"[459, 816]"
142.21,"[459, 808]"
44.43,"[897, 981]"
47.46,"[895, 978]"
50.49,"[891, 974]"
53.52,"[898, 968]"
56.54,"[894, 968]"
59.56,"[892, 974]"
62.59,"[894, 967]"
65.63,"[894, 968]"
68.66,"[897, 969]"
71.69,"[899, 973]"
74.73,"[901, 980]"
77.75,"[902, 984]"
80.78,"[907, 987]"
83.81,"[898, 995]"
86.83,"[900, 992]"
90.87,"[901, 992]"
96.93,"[880, 1001]"
99.96,"[882, 1008]"
102.99,"[873, 1014]"
106.03,"[865, 1021]"
109.05,"[863, 1021]"
112.07,"[858, 1010]"
115.12,"[862, 1003]"
118.16,"[861, 1004]"
121.18,"[861, 1004]"
137.32,"[861, 1004]"
140.35,"[860, 1004]"
143.38,"[863, 1009]"
146.41,"[853, 1008]"
149.44,"[853, 997]"
152.46,"[852, 984]"
155.49,"[849, 979]"
158.51,"[850, 965]"
161.54,"[850, 965]"
164.57,"[846, 965]"
167.6,"[836, 961]"
170.63,"[839, 958]"
173.66,"[848, 951]"
176.69,"[839, 950]"
179.73,"[829, 952]"
182.75,"[824, 963]"
185.77,"[831, 952]"
188.8,"[841, 954]"
191.84,"[842, 962]"
194.88,"[840, 953]"
198.92,"[826, 959]"
201.95,"[826, 961]"
204.97,"[829, 976]"
208.0,"[827, 983]"
211.04,"[828, 983]"
214.06,"[827, 983]"
228.19,"[789, 839]"
231.24,"[781, 828]"
234.27,"[778, 818]"
